Transaction Date,Symbol,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,Vol,Prev. Close,Turnover,120 Days,180 Days,52 Weeks High,52 Weeks Low,Sentiment Score
2025-07-31,ACLBSL,"1,202.00","1,202.00","1,160.00","1,161.15","1,160.10",1.05,0.00,"6,197.00","1,182.39","7,273,717.50","1,096.95","1,085.92","1,345.00",965.00,-1
2025-07-31,ADBL,334.80,336.60,327.00,332.18,332.00,0.18,0.00,"128,639.00",332.08,"42,777,783.90",295.62,307.46,428.40,272.30,-1
2025-07-31,ADBLD83,"1,085.00","1,130.00","1,085.00","1,108.00","1,108.00",0.00,0.00,"3,197.00","1,085.00","3,600,957.00","1,103.63","1,091.89","1,160.00","1,046.00",1
2025-07-31,AHL,665.00,674.00,655.00,670.61,665.00,5.61,0.01,"12,779.00",673.35,"8,471,597.00",700.43,711.56,891.00,579.50,1
2025-07-31,AHPC,310.00,314.90,305.00,306.55,305.30,1.25,0.00,"424,832.00",310.13,"131,139,891.40",279.84,275.35,349.00,221.10,-1
2025-07-31,AKJCL,218.00,219.00,215.00,215.36,215.40,-0.04,0.00,"308,795.00",217.82,"66,953,923.00",209.17,208.09,274.90,187.20,-1
2025-07-31,AKPL,285.60,285.60,273.50,274.78,275.00,-0.22,0.00,"486,879.00",280.05,"134,674,065.70",249.48,248.72,326.00,211.00,-1
2025-07-31,ALBSL,965.00,983.90,950.00,960.78,960.00,0.78,0.00,"34,159.00",958.20,"32,960,113.30",851.96,859.86,"1,177.00",771.00,-1
2025-07-31,ALICL,531.00,531.00,516.00,516.58,517.00,-0.42,0.00,"30,999.00",522.87,"16,117,144.00",660.32,684.46,831.00,484.80,-1
2025-07-31,ANLB,"5,812.02","5,865.00","5,684.10","5,808.88","5,865.00",-56.12,-0.01,252.00,"5,812.02","1,451,560.70","5,319.47","5,282.36","6,735.00","2,715.00",-1
2025-07-31,API,308.00,312.00,305.60,306.41,306.00,0.41,0.00,"316,348.00",310.32,"97,551,228.60",291.00,286.64,390.00,244.00,-1
2025-07-31,AVYAN,"1,150.00","1,154.00","1,120.00","1,137.64","1,125.00",12.64,0.01,"5,778.00","1,149.50","6,560,488.50","1,076.09","1,062.36","1,306.80",832.00,-1
2025-07-31,BARUN,400.00,403.80,388.00,389.39,389.00,0.39,0.00,"103,878.00",398.31,"40,924,326.60",475.89,457.33,589.00,296.10,-1
2025-07-31,BBC,"5,796.90","5,796.90","5,514.00","5,570.09","5,514.00",56.09,0.01,"1,060.00","5,715.06","5,957,856.70","5,631.35","5,573.42","7,247.00","4,010.00",-1
2025-07-31,BEDC,836.90,836.90,778.00,793.30,786.50,6.80,0.01,"17,173.00",853.95,"13,689,534.30",762.07,721.64,"1,080.00",417.10,-1
2025-07-31,BFC,539.00,564.00,530.30,540.74,540.00,0.74,0.00,"54,701.00",539.00,"29,706,022.50",541.93,596.48,951.60,456.00,1
2025-07-31,BGWT,945.00,957.00,945.00,948.39,948.20,0.19,0.00,"4,157.00",956.80,"3,943,209.90","1,004.43","1,005.84","1,241.00",857.60,1
2025-07-31,BHDC,610.00,616.00,590.00,597.75,590.00,7.75,0.01,"77,275.00",612.57,"46,774,328.10",561.85,596.32,829.70,426.00,-1
2025-07-31,BHL,215.80,219.40,215.50,216.06,216.10,-0.04,0.00,"216,653.00",217.63,"46,950,453.50",267.22,304.96,520.00,202.20,1
2025-07-31,BHPL,820.20,821.90,805.50,811.61,811.00,0.61,0.00,"3,240.00",820.14,"2,637,697.20",956.03,913.91,"1,308.40",654.00,-1
2025-07-31,BNHC,571.70,571.70,542.10,545.28,547.00,-1.72,0.00,"46,032.00",560.52,"25,367,005.40",521.91,515.44,689.80,440.00,-1
2025-07-31,BNL,"16,700.00","17,000.00","16,700.00","17,000.00","17,000.00",0.00,0.00,20.00,"16,980.50","337,000.00","17,190.18","17,336.24","22,500.00","14,900.00",1
2025-07-31,BNT,"12,832.00","12,861.00","12,701.00","12,750.00","12,750.00",0.00,0.00,272.00,"12,890.50","3,472,930.00","12,904.31","13,283.54","17,523.00","12,050.00",-1
2025-07-31,BPCL,920.00,952.00,920.00,930.98,925.50,5.48,0.01,"247,702.00",937.89,"232,270,513.40",577.55,525.11,"1,065.00",375.10,1
2025-07-31,C30MF,10.50,10.71,10.30,10.32,10.32,0.00,0.00,"6,100.00",10.30,"64,320.00",9.47,9.48,10.92,8.65,-1
2025-07-31,CBBL,"1,101.10","1,110.00","1,068.00","1,084.32","1,081.00",3.32,0.00,"104,855.00","1,079.58","113,779,472.60",898.85,905.47,"1,155.00",821.50,-1
2025-07-31,CFCL,558.00,580.00,547.00,558.07,552.60,5.47,0.01,"27,979.00",554.36,"15,718,555.10",563.32,586.02,820.00,457.70,1
2025-07-31,CGH,"1,063.00","1,080.00","1,030.10","1,039.20","1,034.00",5.20,0.01,"124,905.00","1,063.86","131,536,542.90",917.56,919.53,"1,360.00",842.10,-1
2025-07-31,CHCL,545.00,548.90,535.00,537.20,536.10,1.10,0.00,"121,812.00",544.93,"65,896,188.60",516.33,529.03,697.00,469.70,-1
2025-07-31,CHDC,"2,875.00","2,879.00","2,805.00","2,813.38","2,816.00",-2.62,0.00,"27,056.00","2,828.06","76,305,685.50","2,484.53","2,210.38","2,997.90","1,538.60",-1
2025-07-31,CHL,324.80,324.80,313.00,316.16,314.00,2.16,0.01,"42,102.00",319.11,"13,421,827.00",418.85,413.98,599.70,276.00,-1
2025-07-31,CIT,"2,079.00","2,090.00","2,040.10","2,046.32","2,043.00",3.32,0.00,"30,253.00","2,078.89","62,193,161.90","1,956.25","2,010.75","2,700.00","1,869.00",-1
2025-07-31,CITY,931.20,939.90,922.00,927.43,922.00,5.43,0.01,"19,470.00",932.90,"18,135,617.00",871.82,880.76,"1,168.50",732.90,-1
2025-07-31,CIZBD90,"1,174.80","1,174.80","1,174.80","1,174.80","1,174.80",0.00,0.00,92.00,"1,198.68","108,081.60","1,112.11",0.00,"1,207.00","1,030.00",0
2025-07-31,CKHL,694.00,722.50,690.00,691.23,704.00,-12.77,-0.02,"7,684.00",707.51,"5,375,706.10",710.14,715.63,910.00,590.00,-1
2025-07-31,CLI,511.00,512.00,500.00,501.33,501.90,-0.57,0.00,"68,061.00",510.47,"34,338,408.20",540.74,589.59,774.90,448.20,-1
2025-07-31,CMF2,9.75,10.10,9.75,10.10,10.10,0.00,0.00,"5,870.00",9.93,"58,838.00",9.53,9.54,10.86,9.00,-1
2025-07-31,CORBL,"2,069.10","2,231.40","2,069.10","2,230.94","2,231.00",-0.06,0.00,"13,951.00","2,028.61","30,626,011.60","2,175.84","1,949.42","2,842.30",635.00,1
2025-07-31,CREST,"1,400.00","1,400.00","1,378.00","1,381.81","1,378.00",3.81,0.00,"19,022.00","1,400.68","26,354,121.00",0.00,0.00,"2,458.20",302.50,-1
2025-07-31,CYCL,"1,863.00","1,900.20","1,801.00","1,821.52","1,820.00",1.52,0.00,"7,189.00","1,827.06","13,094,662.40","1,680.85","1,665.33","2,040.00","1,448.00",-1
2025-07-31,CZBIL,230.00,232.00,227.00,228.00,227.40,0.60,0.00,"100,942.00",232.31,"23,087,979.80",212.11,215.49,296.00,196.00,-1
2025-07-31,DDBL,965.00,975.00,931.00,943.27,940.00,3.27,0.00,"50,265.00",955.00,"47,804,700.40",814.97,830.21,"1,099.00",759.00,-1
2025-07-31,DHPL,326.50,339.20,326.00,327.76,328.00,-0.24,0.00,"18,947.00",332.58,"6,219,905.00",353.65,332.91,427.20,213.10,1
2025-07-31,DLBS,"1,549.59","1,550.00","1,531.40","1,538.66","1,536.00",2.66,0.00,951.00,"1,549.59","1,457,123.60","1,566.78","1,590.17","2,250.00","1,200.10",-1
2025-07-31,DOLTI,602.60,610.00,594.00,595.55,594.00,1.55,0.00,"10,332.00",602.60,"6,187,122.40",640.51,655.70,"1,017.00",450.00,-1
2025-07-31,DORDI,313.00,315.00,310.00,311.22,311.00,0.22,0.00,"60,686.00",313.12,"18,938,379.10",404.25,446.98,696.00,300.10,-1
2025-07-31,EBL,715.00,729.30,713.00,717.09,716.00,1.09,0.00,"156,655.00",722.16,"112,588,247.30",638.31,624.23,790.00,567.00,1
2025-07-31,EBLD85,"1,125.00","1,125.00","1,117.00","1,119.98","1,117.00",2.98,0.00,"1,205.00","1,124.50","1,354,095.00","1,129.38","1,113.61","1,200.00","1,080.00",-1
2025-07-31,EBLD86,"1,025.10","1,046.00","1,025.10","1,037.49","1,031.00",6.49,0.01,275.00,"1,045.00","284,402.00","1,044.55","1,033.31","1,080.00",942.00,1
2025-07-31,EBLD91,"1,010.00","1,010.00","1,005.10","1,007.10","1,007.10",0.00,0.00,155.00,"1,012.00","156,172.00",0.00,0.00,"1,050.00",996.00,-1
2025-07-31,EDBL,670.10,690.00,665.00,667.16,665.00,2.16,0.00,"50,876.00",678.28,"34,321,299.30",639.71,638.65,838.20,481.00,-1
2025-07-31,EHPL,635.80,660.00,635.80,638.46,636.10,2.36,0.00,"8,130.00",648.48,"5,241,011.80",672.95,709.82,997.00,530.30,1
2025-07-31,ENL,"1,155.00","1,179.90","1,111.50","1,121.29","1,135.00",-13.71,-0.01,"2,468.00","1,137.55","2,781,161.50","1,155.28","1,174.00","1,453.50","1,022.10",-1
2025-07-31,FMDBL,978.00,990.10,956.00,962.18,956.00,6.18,0.01,"162,386.00",975.14,"157,867,387.90",784.62,777.98,"1,038.80",687.00,-1
2025-07-31,FOWAD,"1,276.00","1,276.00","1,235.60","1,253.92","1,260.00",-6.08,0.00,"7,121.00","1,250.99","8,936,879.70","1,180.91","1,235.41","1,698.00","1,059.30",-1
2025-07-31,GBBD85,"1,038.00","1,038.00","1,038.00","1,038.00","1,038.00",0.00,0.00,25.00,"1,035.00","25,950.00","1,051.47","1,044.83","1,110.00",966.50,0
2025-07-31,GBBL,466.00,466.10,451.20,453.05,452.00,1.05,0.00,"144,382.00",465.00,"66,030,431.30",404.23,411.14,531.40,378.70,-1
2025-07-31,GBIME,270.00,270.00,260.10,261.61,261.20,0.41,0.00,"366,846.00",266.87,"96,289,966.60",230.69,231.69,302.00,210.70,-1
2025-07-31,GBLBS,908.50,908.50,880.00,883.46,885.00,-1.54,0.00,"16,573.00",890.70,"14,764,194.50",835.54,820.52,987.00,667.10,-1
2025-07-31,GCIL,532.00,537.00,518.00,520.68,518.00,2.68,0.01,"82,865.00",532.18,"43,622,316.00",521.00,511.68,668.00,465.20,-1
2025-07-31,GFCL,701.20,748.60,695.00,708.80,709.00,-0.20,0.00,"78,804.00",705.60,"56,293,332.00",676.70,741.99,"1,353.00",591.50,1
2025-07-31,GHL,258.00,262.00,252.00,253.71,253.50,0.21,0.00,"211,822.00",258.64,"54,158,424.50",259.87,245.27,318.00,193.50,-1
2025-07-31,GIBF1,11.24,11.68,11.24,11.37,11.40,-0.03,0.00,"293,425.00",11.46,"3,362,550.00",10.30,10.16,11.68,8.84,1
2025-07-31,GILB,"1,350.00","1,367.90","1,336.50","1,345.94","1,336.50",9.44,0.01,"9,664.00","1,350.96","13,023,529.90","1,284.14","1,271.12","1,485.00","1,118.20",-1
2025-07-31,GLBSL,"2,306.05","2,325.60","2,275.10","2,282.29","2,290.00",-7.71,0.00,"2,711.00","2,306.05","6,202,647.20","2,644.70","2,533.20","3,486.00","1,560.00",-1
2025-07-31,GLH,286.00,290.00,279.00,280.58,279.00,1.58,0.01,"150,696.00",286.75,"42,697,337.20",262.94,258.91,336.00,223.80,-1
2025-07-31,GMFBS,"1,722.00","1,722.00","1,655.00","1,660.44","1,660.00",0.44,0.00,"2,224.00","1,689.02","3,708,013.70","1,647.64","1,678.41","1,980.00","1,397.00",-1
2025-07-31,GMFIL,530.60,540.00,515.10,523.31,524.00,-0.69,0.00,"46,694.00",520.31,"24,711,028.30",505.01,535.61,759.00,436.50,-1
2025-07-31,GMLI,"2,110.00","2,142.60","2,096.00","2,100.58","2,096.00",4.58,0.00,"8,351.00","2,100.77","17,650,723.00",0.00,0.00,"2,778.00",301.00,-1
2025-07-31,GRDBL,"1,272.50","1,372.30","1,272.50","1,371.34","1,372.30",-0.96,0.00,"74,829.00","1,247.62","100,789,420.40","1,335.42","1,237.28","2,001.40",538.00,1
2025-07-31,GSY,9.66,10.00,9.66,10.00,10.00,0.00,0.00,"90,780.00",9.85,"905,649.50",0.00,0.00,10.28,8.80,-1
2025-07-31,GUFL,578.00,601.00,574.00,581.86,581.00,0.86,0.00,"31,867.00",581.41,"18,676,419.70",579.06,621.83,"1,041.00",521.50,1
2025-07-31,GVL,612.20,662.00,606.70,623.14,619.00,4.14,0.01,"312,192.00",623.56,"194,666,419.20",486.91,507.87,662.00,424.00,1
2025-07-31,H8020,11.55,11.79,11.55,11.68,11.68,0.00,0.00,"11,500.00",11.70,"134,244.00",10.73,10.50,12.06,9.54,1
2025-07-31,HATHY,"1,332.30","1,332.30","1,286.00","1,293.07","1,286.00",7.07,0.01,"42,140.00","1,306.19","54,783,372.60","1,319.10","1,343.37","1,816.00","1,180.30",-1
2025-07-31,HBL,236.00,239.00,233.00,233.36,233.50,-0.14,0.00,"94,880.00",238.13,"22,292,527.60",229.79,234.62,312.10,210.00,-1
2025-07-31,HDHPC,208.90,215.50,208.90,210.22,210.30,-0.08,0.00,"356,059.00",213.13,"75,430,775.70",202.69,203.68,273.00,174.00,1
2025-07-31,HDL,"1,486.00","1,496.00","1,450.10","1,459.83","1,458.00",1.83,0.00,"471,530.00","1,486.43","690,951,767.50","1,223.37","1,247.69","1,696.00","1,136.00",-1
2025-07-31,HEI,610.50,615.80,604.00,605.61,604.00,1.61,0.00,"29,166.00",618.02,"17,783,552.00",605.16,619.69,810.00,547.40,-1
2025-07-31,HEIP,365.00,375.80,365.00,375.80,375.80,0.00,0.00,495.00,368.48,"181,463.10",377.78,407.81,563.00,342.20,1
2025-07-31,HHL,416.00,420.00,405.00,406.40,406.00,0.40,0.00,"108,223.00",415.89,"44,521,637.80",467.81,482.79,635.00,351.00,-1
2025-07-31,HIDCL,300.70,309.80,299.00,300.70,300.00,0.70,0.00,"488,131.00",306.74,"148,132,602.10",291.14,278.61,360.00,215.00,0
2025-07-31,HIDCLP,220.00,230.00,217.80,218.58,218.50,0.08,0.00,"1,415,768.00",224.19,"313,375,499.80",197.69,188.88,239.00,109.80,-1
2025-07-31,HLBSL,"1,060.00","1,081.20","1,040.20","1,051.20","1,055.00",-3.80,0.00,"16,228.00","1,055.63","17,257,360.80",986.36,983.96,"1,335.00",817.00,-1
2025-07-31,HLI,446.50,446.50,422.30,424.64,423.30,1.34,0.00,"248,637.00",437.75,"107,559,919.00",421.22,436.88,607.00,377.70,-1
2025-07-31,HPPL,520.00,525.40,511.00,514.91,515.80,-0.89,0.00,"57,006.00",517.11,"29,572,910.30",563.32,513.25,711.00,290.10,-1
2025-07-31,HRL,"1,109.00","1,139.90","1,091.60","1,103.73","1,100.70",3.03,0.00,"1,195,623.00","1,087.35","1,338,816,770.00",965.32,921.76,"1,156.00",700.00,-1
2025-07-31,HURJA,256.00,260.00,253.00,254.25,253.20,1.05,0.00,"138,100.00",257.35,"35,480,887.20",252.49,246.20,291.70,198.00,-1
2025-07-31,ICFC,690.00,710.50,680.10,694.65,694.00,0.65,0.00,"94,215.00",690.76,"65,426,365.40",627.61,657.07,910.00,555.00,1
2025-07-31,IGI,577.00,577.00,554.00,557.20,556.00,1.20,0.00,"31,778.00",566.16,"17,758,816.60",567.49,578.91,760.00,510.00,-1
2025-07-31,IHL,596.00,605.90,585.20,592.69,594.00,-1.31,0.00,"11,380.00",596.37,"6,768,617.70",636.18,640.58,838.00,440.00,-1
2025-07-31,ILBS,"1,111.00","1,160.00","1,111.00","1,154.06","1,155.00",-0.94,0.00,"28,374.00","1,128.75","32,468,035.70",930.65,952.63,"1,239.00",795.20,1
2025-07-31,ILI,468.00,474.90,466.10,468.46,467.00,1.46,0.00,"33,953.00",474.91,"15,930,427.80",467.70,473.17,606.00,430.50,1
2025-07-31,JBBL,389.60,389.60,375.00,377.15,376.00,1.15,0.00,"237,628.00",385.62,"90,516,420.50",344.03,352.69,445.00,315.00,-1
2025-07-31,JBLB,"1,478.00","1,508.00","1,455.00","1,459.58","1,459.10",0.48,0.00,"25,960.00","1,481.57","38,311,320.20","1,358.30","1,408.65","1,920.00","1,270.70",-1
2025-07-31,JFL,517.00,535.00,510.00,522.51,522.00,0.51,0.00,"56,093.00",516.93,"29,377,242.10",502.57,605.04,"1,083.30",400.00,1
2025-07-31,JOSHI,345.70,352.80,340.00,345.70,344.00,1.70,0.00,"79,632.00",339.22,"27,568,866.20",383.77,387.90,521.60,265.00,0
2025-07-31,JSLBB,"1,411.80","1,411.80","1,375.00","1,378.77","1,375.00",3.77,0.00,"3,394.00","1,384.18","4,692,932.00","1,449.67","1,501.66","1,860.40","1,216.20",-1
2025-07-31,KBL,222.10,225.00,220.00,220.44,221.00,-0.56,0.00,"598,713.00",223.24,"132,976,815.10",208.38,211.45,272.90,192.10,-1
2025-07-31,KBSH,"2,052.00","2,110.00","2,004.10","2,017.80","2,005.00",12.80,0.01,498.00,"2,012.58","1,008,085.70","2,161.04","2,312.15","3,300.00","1,520.00",-1
2025-07-31,KDBY,10.29,10.45,10.29,10.31,10.29,0.02,0.00,"170,250.00",10.50,"1,769,794.00",9.54,9.53,11.00,8.51,1
2025-07-31,KDL,"1,140.00","1,155.00","1,115.00","1,128.36","1,127.90",0.46,0.00,"4,309.00","1,140.76","4,881,507.00","1,138.80","1,132.15","1,381.00",970.00,-1
2025-07-31,KEF,10.00,10.36,10.00,10.15,10.15,0.00,0.00,"99,580.00",10.17,"1,026,143.50",9.12,9.11,10.76,7.91,1
2025-07-31,KKHC,282.00,283.00,275.00,278.48,278.00,0.48,0.00,"27,804.00",283.32,"7,745,492.90",355.93,355.26,475.90,235.20,-1
2025-07-31,KMCDB,"1,140.00","1,180.00","1,086.00","1,093.77","1,092.10",1.67,0.00,"11,161.00","1,118.59","12,373,441.60","1,069.35","1,074.92","1,270.00",950.60,-1
2025-07-31,KPCL,637.10,637.10,611.00,618.08,611.00,7.08,0.01,"150,741.00",630.46,"93,877,007.60",554.60,547.90,711.00,440.00,-1
2025-07-31,KSBBL,560.00,560.00,535.00,538.82,541.00,-2.18,0.00,"204,769.00",551.83,"111,365,697.10",459.01,457.11,588.00,416.00,-1
2025-07-31,KSY,10.20,10.28,9.90,10.02,9.90,0.12,0.01,"15,500.00",10.28,"155,557.00",9.17,9.13,10.91,8.25,-1
2025-07-31,LBBL,617.00,628.80,600.00,610.66,610.00,0.66,0.00,"672,260.00",616.83,"412,750,846.80",452.01,463.45,646.30,376.50,-1
2025-07-31,LEC,240.70,240.70,228.00,228.63,228.50,0.13,0.00,"270,000.00",236.15,"62,364,958.60",216.09,217.64,344.00,195.00,-1
2025-07-31,LICN,947.00,947.00,911.10,920.49,917.20,3.29,0.00,"21,484.00",929.30,"19,915,951.70",991.76,"1,065.84","2,475.00",830.00,-1
2025-07-31,LLBS,"1,183.00","1,206.00","1,165.50","1,171.19","1,165.50",5.69,0.00,"2,977.00","1,182.89","3,520,011.20","1,103.25","1,111.09","1,367.30",990.00,-1
2025-07-31,LSL,247.00,247.00,237.00,238.50,237.10,1.40,0.01,"214,003.00",242.31,"51,535,409.40",221.18,225.95,300.00,201.00,-1
2025-07-31,LUK,11.24,11.33,11.07,11.32,11.30,0.02,0.00,"53,010.00",11.46,"590,825.40",9.93,9.82,11.93,8.70,1
2025-07-31,LVF2,10.93,11.11,10.21,10.90,10.90,0.00,0.00,"475,699.00",10.93,"5,032,772.59",9.65,9.51,11.45,8.27,-1
2025-07-31,MAKAR,642.00,650.00,635.00,638.54,639.00,-0.46,0.00,"8,418.00",642.85,"5,402,132.00",694.92,678.31,860.00,431.30,-1
2025-07-31,MANDU,911.00,926.00,900.00,910.03,909.00,1.03,0.00,"10,879.00",918.99,"9,912,046.40",900.44,910.87,"1,300.00",805.60,-1
2025-07-31,MATRI,"1,220.00","1,225.00","1,205.80","1,216.97","1,215.00",1.97,0.00,"1,701.00","1,217.05","2,065,123.10","1,223.46","1,249.92","1,716.00","1,125.00",-1
2025-07-31,MBJC,323.00,325.00,317.20,318.86,317.30,1.56,0.00,"58,777.00",323.17,"18,884,184.60",329.10,336.93,433.00,293.50,-1
2025-07-31,MBL,258.50,260.00,255.00,255.87,255.30,0.57,0.00,"357,154.00",260.17,"92,254,277.70",229.15,234.52,295.00,208.60,-1
2025-07-31,MBLEF,9.05,9.08,9.05,9.08,9.08,0.00,0.00,"3,900.00",9.21,"35,337.00",0.00,0.00,10.19,8.59,1
2025-07-31,MCHL,565.00,566.10,549.00,550.00,550.00,0.00,0.00,"7,346.00",562.61,"4,063,980.80",587.20,592.69,714.00,452.00,-1
2025-07-31,MDB,676.00,703.00,675.20,678.18,677.00,1.18,0.00,"83,393.00",689.12,"56,957,142.10",638.47,653.88,843.50,557.00,1
2025-07-31,MEHL,469.00,469.00,452.10,456.49,456.10,0.39,0.00,"15,174.00",459.85,"6,928,344.70",506.97,492.51,696.00,344.20,-1
2025-07-31,MEL,316.10,323.10,313.10,315.07,314.20,0.87,0.00,"51,900.00",318.55,"16,459,209.60",322.72,323.02,393.00,265.60,-1
2025-07-31,MEN,656.40,656.40,636.40,638.27,637.30,0.97,0.00,"110,846.00",643.55,"71,023,749.60",598.35,623.14,809.50,552.40,-1
2025-07-31,MERO,915.00,951.00,885.10,891.21,887.40,3.81,0.00,"76,729.00",909.58,"69,206,386.70",755.71,747.99,"1,000.00",648.00,-1
2025-07-31,MFIL,714.00,735.00,700.10,716.71,711.90,4.81,0.01,"139,864.00",711.49,"100,316,252.10",617.40,647.46,917.00,560.00,1
2025-07-31,MHCL,472.60,489.00,467.00,471.54,470.00,1.54,0.00,"18,678.00",482.08,"8,855,971.10",509.44,507.91,655.00,355.10,-1
2025-07-31,MHL,610.20,621.00,610.20,615.53,618.00,-2.47,0.00,"12,113.00",615.83,"7,462,044.40",681.07,735.61,"1,101.00",554.00,1
2025-07-31,MHNL,282.90,282.90,269.00,269.84,270.00,-0.16,0.00,"55,047.00",278.62,"14,983,905.90",270.84,270.92,379.00,234.00,-1
2025-07-31,MKCL,"1,811.00","1,845.00","1,785.00","1,803.36","1,787.00",16.36,0.01,"34,232.00","1,811.13","62,113,792.60","1,587.05","1,573.70","1,926.00","1,230.10",-1
2025-07-31,MKHC,470.50,474.30,461.00,463.93,462.00,1.93,0.00,"39,820.00",470.89,"18,558,842.30",486.55,487.11,627.00,307.40,-1
2025-07-31,MKHL,927.00,943.00,890.00,891.25,897.00,-5.75,-0.01,"15,832.00",945.15,"14,294,420.30",741.47,699.21,"1,027.00",450.80,-1
2025-07-31,MKJC,611.00,619.90,590.00,604.75,604.90,-0.15,0.00,"204,257.00",601.67,"123,901,028.90",542.90,541.82,700.00,402.00,-1
2025-07-31,MLBBL,"1,580.00","1,648.20","1,580.00","1,586.13","1,585.00",1.13,0.00,"7,044.00","1,611.72","11,385,287.50","1,570.44","1,613.31","2,019.00","1,360.00",1
2025-07-31,MLBL,440.00,440.00,425.00,427.89,425.10,2.79,0.01,"179,598.00",436.31,"77,482,453.40",398.94,398.54,498.00,358.00,-1
2025-07-31,MLBS,"1,701.00","1,705.00","1,651.00","1,666.83","1,664.00",2.83,0.00,"2,400.00","1,701.01","4,031,472.00","1,781.49","1,878.15","2,530.00","1,311.00",-1
2025-07-31,MLBSL,"2,330.00","2,369.00","2,286.40","2,295.21","2,310.00",-14.79,-0.01,"3,412.00","2,288.20","7,869,468.40","2,267.04","2,267.83","2,648.70","1,950.00",-1
2025-07-31,MMF1,9.38,9.54,9.30,9.39,9.39,0.00,0.00,"18,330.00",9.43,"172,677.20",8.85,8.88,9.85,7.85,1
2025-07-31,MMKJL,612.80,630.00,607.70,610.47,617.50,-7.03,-0.01,"8,013.00",625.04,"4,909,747.40",655.58,663.06,890.40,451.80,-1
2025-07-31,MNBBL,470.00,480.00,463.00,465.01,463.30,1.71,0.00,"406,806.00",475.58,"191,189,594.60",376.75,380.22,503.00,349.00,-1
2025-07-31,MNMF1,9.32,9.82,9.32,9.50,9.50,0.00,0.00,"13,980.00",9.51,"133,015.00",9.21,0.00,10.42,8.67,1
2025-07-31,MPFL,646.00,679.80,646.00,658.23,659.50,-1.27,0.00,"39,751.00",656.60,"26,316,700.90",634.46,663.41,936.90,549.00,1
2025-07-31,MSHL,910.00,932.00,910.00,922.19,920.00,2.19,0.00,"3,106.00",921.26,"2,869,205.30",921.10,937.14,"1,180.00",720.00,1
2025-07-31,MSLB,"1,447.90","1,509.00","1,447.90","1,459.48","1,465.10",-5.62,0.00,"37,906.00","1,419.59","56,049,654.30","1,293.17","1,386.36","1,851.00","1,130.20",1
2025-07-31,NABBC,"1,645.00","1,690.00","1,645.00","1,658.76","1,660.00",-1.24,0.00,"6,383.00","1,678.45","10,672,779.20","1,642.48","1,450.69","2,060.00",530.00,1
2025-07-31,NABIL,540.10,548.20,535.00,536.48,536.90,-0.42,0.00,"110,940.00",545.18,"59,709,752.80",496.89,506.12,700.00,474.10,-1
2025-07-31,NADEP,965.00,986.00,946.00,958.14,960.00,-1.86,0.00,"11,424.00",968.38,"11,119,491.50",891.16,921.21,"1,190.00",775.00,-1
