Data Collected Date,Symbol,Company Name,Sector,Share Outstanding,Paid Up Capital,1 Year Price Change,Market Cap,EPS,P/E Ratio,BVPS,P/B,Recent Dividend
6/5/2025,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,"3,671,435","367,143,500.00",5%,"3,829,820,705.90","22.27 (Q3, FY 81/82)",46.84,147.28,9.66,FY 79/80
6/5/2025,ADBL,Agriculture Development Bank Limited,Commercial Banks,"138,552,244","13,855,224,400.00",9%,"39,937,684,333.00","15.4 (Q3, FY 81/82)",18.72,190.25,2.02,FY 80/81
6/5/2025,ADBLD83,10.35% Agricultural Bank Debenture 2083,Corporate Debenture,"2,500,000","2,500,000,000.00",3%,"2,700,000,000.00",-,-,-,-,-
6/5/2025,AHL,Asian Hydropower Limited,Hydro Power,"3,400,000","340,000,000.00",40%,"2,245,360,000.00","-12.02 (Q3, FY 81/82)",-54.94,86.11,11.09,-
6/5/2025,AHPC,Arun Valley Hydropower Development Co. Ltd.,Hydro Power,"38,480,030","3,848,003,000.00",91%,"11,384,316,875.50","11.85 (Q3, FY 81/82)",24.97,109.56,3.04,FY 80/81
6/5/2025,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,Hydro Power,"20,000,000","2,000,000,000.00",2%,"4,113,000,000.00","2.25 (Q3, FY 81/82)",91.4,90.04,2.96,-
6/5/2025,AKPL,Arun Kabeli Power Ltd.,Hydro Power,"38,959,421","3,895,942,100.00",70%,"10,788,642,863.32","1.1 (Q3, FY 81/82)",251.75,96.21,3.14,FY 78/79
6/5/2025,ALBSL,Asha Laghubitta Bittiya Sanstha Limited,Microfinance,"7,330,463","733,046,300.00",-22%,"5,901,315,933.52","11.93 (Q3, FY 81/82)",67.48,153.38,7.05,FY 80/81
6/5/2025,ALICL,Asian Life Insurance Co. Limited,Life Insurance,"48,277,677","4,827,767,700.00",-12%,"24,218,013,890.28","13.13 (Q3, FY 81/82)",38.21,126.46,7.81,FY 79/80
6/5/2025,ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,"783,433","78,343,300.00",139%,"4,382,743,563.24","36.53 (Q3, FY 81/82)",153.14,355.3,20.42,FY 80/81
6/5/2025,API,Api Power Company Ltd.,Hydro Power,"60,759,278","6,075,927,800.00",77%,"17,916,695,896.64","7.76 (Q3, FY 81/82)",38,109.85,3.31,FY 80/81
6/5/2025,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,Microfinance,"2,500,000","250,000,000.00",8%,"2,584,925,000.00","12 (Q3, FY 81/82)",86.16,116.3,12.08,FY 79/80
6/5/2025,BARUN,Barun Hydropower Co. Ltd.,Hydro Power,"10,716,300","1,071,630,000.00",36%,"3,421,500,264.00","0.89 (Q3, FY 81/82)",358.74,112.9,6.32,FY 76/77
6/5/2025,BBC,Bishal Bazar Company Limited,Tradings,"40,100,000","4,010,000,000.00",46%,"222,809,234,000.00","250.25 (Q2, FY 77/78)",22.2,1685.32,3.27,FY 75/76
6/5/2025,BEDC,Bhugol Energy Development Company Limited,Hydro Power,"5,440,534","544,053,400.00",100%,"4,198,242,466.44","-4.79 (Q3, FY 81/82)",-161.1,50.07,20.18,-
6/5/2025,BFC,Best Finance Company Ltd.,Finance,"8,904,242","890,424,200.00",8%,"4,220,254,538.32","-11.26 (Q3, FY 81/82)",-42.09,110.89,6.56,FY 67/68
6/5/2025,BGWT,Bhagawati Hydropower Development Company Ltd.,Hydro Power,"5,949,473","594,947,300.00",-9%,"5,395,815,042.62","9.46 (Q3, FY 81/82)",95.87,116.35,11.49,FY 80/81
6/5/2025,BHDC,Bindyabasini Hydropower Development Company Limited,Hydro Power,"11,340,000","1,134,000,000.00",-27%,"4,849,437,600.00","7.83 (Q3, FY 81/82)",54.62,110.15,6.74,FY 80/81
6/5/2025,BHL,Balephi Hydropower Limited,Hydro Power,"36,559,400","3,655,940,000.00",-38%,"7,659,559,894.00","-11.91 (Q3, FY 81/82)",-17.59,76.45,4.45,-
6/5/2025,BHPL,Barahi Hydropower Public Limited,Hydro Power,"2,500,000","250,000,000.00",34%,"2,011,950,000.00","1.58 (Q3, FY 81/82)",509.35,55.29,25.12,-
6/5/2025,BNHC,Buddhabhumi Nepal Hydropower Company Limited,Hydro Power,"4,000,000","400,000,000.00",-20%,"2,078,040,000.00","0.19 (Q3, FY 81/82)",2734.26,83.05,7.99,-
6/5/2025,BNL,Bottlers Nepal (Balaju) Limited,Manufacturing And Processing,"1,948,887","194,888,700.00",-2%,"31,542,930,983.70","10.93 (Q3, FY 81/82)",1480.8,3206.65,7.32,FY 78/79
6/5/2025,BNT,Bottlers Nepal (Terai) Limited,Manufacturing And Processing,"1,210,000","121,000,000.00",-1%,"15,304,080,000.00","88.99 (Q3, FY 81/82)",142.13,3496.92,5,FY 80/81
6/5/2025,BPCL,Butwal Power Company Limited,Hydro Power,"34,090,646","3,409,064,600.00",116%,"21,548,697,336.60","8.23 (Q3, FY 81/82)",76.8,207.6,2.56,FY 80/81
6/5/2025,C30MF,Citizens Super 30 Mutual Fund,Mutual Fund,"75,072,390","750,723,900.00",9%,"734,207,974.20",-,-,-,-,FY 80/81
6/5/2025,C30MF,Citizens Super 30 Mutual Fund,Mutual Fund,"75,072,390.00","750,723,900.00",13,"763,486,206.30",0,0,0,,
6/5/2025,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,Microfinance,"32,153,459","3,215,345,900.00",5%,"28,144,887,266.47","35.39 (Q3, FY 81/82)",24.73,247.14,4.56,FY 80/81
6/5/2025,CBLD88,Civil Bank Debenture 2088,Corporate Debenture,"3,000,000","3,000,000,000.00",9%,"3,378,000,000.00",-,-,-,-,-
6/5/2025,CCBD88,Century Debenture 2088,Corporate Debenture,"2,200,000.00","2,200,000,000.00",6.97,"2,681,580,000.00",0,0,0,,
6/5/2025,CFCL,Central Finance Co. Ltd.,Finance,"9,488,756","948,875,600.00",20%,"4,839,550,222.68","2.39 (Q3, FY 81/82)",213.4,105.7,7.66,FY 79/80
6/5/2025,CGH,Chandragiri Hills Limited,Hotels And Tourism,"15,340,910","1,534,091,000.00",5%,"13,790,097,408.10","9.46 (Q3, FY 81/82)",95.02,102.49,11.1,-
6/5/2025,CHCL,Chilime Hydropower Company Limited,Hydro Power,"87,823,974","8,782,397,400.00",12%,"42,750,075,823.98","7.71 (Q3, FY 81/82)",63.13,128.61,4.93,FY 80/81
6/5/2025,CHDC,CEDB Holdings Limited,Investment,"10,342,371","1,034,237,100.00",162%,"25,962,453,921.30","45.51 (Q3, FY 81/82)",55.16,171.93,19.82,FY 80/81
6/5/2025,CHL,Chhyangdi Hydropower Ltd.,Hydro Power,"7,739,550","773,955,000.00",-11%,"2,152,910,623.50","-13.85 (Q3, FY 81/82)",-20.08,53.88,11.07,FY 76/77
6/5/2025,CIT,Citizen Investment Trust,Investment,"64,817,125","6,481,712,500.00",-10%,"123,623,109,827.50","18.49 (Q3, FY 81/82)",103.15,550.49,4.71,FY 80/81
6/5/2025,CITY,City Hotel Limited,Hotels And Tourism,"16,740,000","1,674,000,000.00",30%,"13,860,385,200.00","-13.84 (Q3, FY 81/82)",-59.83,79.93,14.02,-
6/5/2025,CIZBD90,10% Citizens Bank Debentujhre 2090,Corporate Debenture,"3,000,000","3,000,000,000.00",10%,"3,435,000,000.00",-,-,-,-,-
6/5/2025,CKHL,Chirkhwa Hydropower Limited,Hydro Power,"4,000,000","400,000,000.00",18%,"2,516,720,000.00","1.63 (Q3, FY 81/82)",386,95.6,9.92,-
6/5/2025,CLI,Citizen Life Insurance Company Limited,Life Insurance,"50,000,000","5,000,000,000.00",-2%,"23,382,500,000.00","9.54 (Q3, FY 81/82)",49.02,123.91,5.35,FY 80/81
6/5/2025,CMF2,CITIZENS MUTUAL FUND 2,Mutual Fund,"56,000,000","560,000,000.00",15%,"526,960,000.00",-,-,-,-,FY 80/81
6/5/2025,CORBL,Corporate Development Bank Limited,Development Bank Limited,"5,250,000","525,000,000.00",413%,"12,829,530,000.00","4.52 (Q3, FY 81/82)",540.65,144.08,16.8,FY 78/79
6/5/2025,CREST,Crest Micro Life Insurance Ltd.,Life Insurance,"7,500,000","750,000,000.00",0%,"12,705,975,000.00","1.87 (Q3, FY 81/82)",905.95,101.9,4.79,-
6/5/2025,CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,"2,664,244","266,424,400.00",2%,"4,282,505,805.60","27.96 (Q3, FY 81/82)",57.49,268.51,7.91,FY 78/79
6/5/2025,CZBIL,Citizen Bank International Limited,Commercial Banks,"147,690,131","14,769,013,100.00",25%,"30,982,435,681.18","8.68 (Q3, FY 81/82)",24.17,152.75,1.83,FY 80/81
6/5/2025,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,"18,682,860","1,868,286,000.00",7%,"14,765,811,572.40","30.84 (Q3, FY 81/82)",25.63,195.51,5.29,FY 80/81
6/5/2025,DHPL,Dibyashwori Hydropower Ltd.,Hydro Power,"2,640,000","264,000,000.00",68%,"838,648,800.00","-0.79 (Q3, FY 81/82)",-402.11,4.53,116.01,-
6/5/2025,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,"1,331,000","133,100,000.00",14%,"1,896,728,240.00","5.27 (Q3, FY 81/82)",270.41,162.57,12.65,-
6/5/2025,DOLTI,Dolti Power Company Limited,Hydro Power,"5,364,860","536,486,000.00",27%,"2,871,809,558.00","-3.33 (Q3, FY 81/82)",-160.75,60.96,14.5,-
6/5/2025,DORDI,Dordi Khola Jal Bidyut Company Limited,Hydro Power,"21,085,208","2,108,520,800.00",-2%,"8,645,567,836.24","-4.92 (Q3, FY 81/82)",-83.34,82.6,5.87,-
6/5/2025,EBL,Everest Bank Limited,Commercial Banks,"129,446,944","12,944,694,400.00",23%,"84,537,915,718.08","35.61 (Q3, FY 81/82)",18.34,235.47,3.43,FY 80/81
6/5/2025,EBLD85,10.50% Everest Bank Limited Debenture 2085,Corporate Debenture,0,0,6%,0,-,-,-,-,-
6/5/2025,EBLD86,8.5% of Everest Bank Limited Debenture 2086,Corporate Debenture,"2,000,000.00","2,000,000,000.00",6.05,"2,081,000,000.00",0,0,0,,
6/5/2025,EBLD91,Everest Bank Limited Rinpatra 2091,Corporate Debenture,"3,000,000","3,000,000,000.00",0%,"3,087,000,000.00",-,-,-,-,-
6/5/2025,EBLD91,Everest Bank Limited Rinpatra 2091,Corporate Debenture,"3,000,000.00","3,000,000,000.00",0,"3,079,500,000.00",0,0,0,,
6/5/2025,EDBL,Excel Development Bank Ltd.,Development Bank Limited,"12,496,945","1,249,694,500.00",53%,"7,256,601,053.15","-0.68 (Q3, FY 81/82)",-853.93,162.4,4.99,FY 77/78
6/5/2025,EHPL,Eastern Hydropower Limited,Hydro Power,"6,200,000","620,000,000.00",9%,"3,389,230,000.00","2.66 (Q3, FY 81/82)",205.51,73.52,12.31,-
6/5/2025,ENL,Emerging Nepal Limited,Investment,"5,556,000","555,600,000.00",19%,"6,125,323,320.00","-0.19 (Q3, FY 81/82)",-5802.47,109.34,14.71,FY 79/80
6/5/2025,FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,Microfinance,"13,448,714","1,344,871,400.00",7%,"9,819,578,527.10","7 (Q3, FY 81/82)",104.31,126.72,8,FY 80/81
6/5/2025,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Ltd.,Microfinance,"11,959,539","1,195,953,900.00",-13%,"13,244,711,060.94","4.03 (Q3, FY 81/82)",274.8,253.62,6.1,FY 80/81
6/5/2025,GBBD85,"Garima Debenture, 2085",Corporate Debenture,"1,000,000","1,000,000,000.00",8%,"1,054,500,000.00",-,-,-,-,-
6/5/2025,GBBL,Garima Bikas Bank Limited,Development Bank Limited,"56,805,175","5,680,517,500.00",8%,"22,322,161,568.00","17.22 (Q3, FY 81/82)",22.82,153.47,3.44,FY 80/81
6/5/2025,GBILD84/85,Global IME Bank Debenture 2084/85,Corporate Debenture,"5,000,000","5,000,000,000.00",0%,"5,635,000,000.00",-,-,-,-,-
6/5/2025,GBIME,Global IME Bank Limited,Commercial Banks,"381,158,528","38,115,852,800.00",29%,"90,185,919,310.08","15.86 (Q3, FY 81/82)",14.92,173.47,1.68,FY 80/81
6/5/2025,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,Microfinance,"9,825,000","982,500,000.00",2%,"7,743,672,000.00","33.49 (Q3, FY 81/82)",23.53,282.48,3.86,-
6/5/2025,GCIL,Ghorahi Cement Industry Limited,Manufacturing And Processing,"45,676,857","4,567,685,700.00",2%,"22,261,986,564.66","-16.18 (Q3, FY 81/82)",-30.12,190.8,3.69,FY 79/80
6/5/2025,GFCL,Goodwill Finance Co. Ltd.,Finance,"9,461,152","946,115,200.00",34%,"5,942,738,794.24","2.15 (Q3, FY 81/82)",292.15,200.67,4.38,FY 77/78
6/5/2025,GHL,Ghalemdi Hydro Limited,Hydro Power,"16,500,000","1,650,000,000.00",70%,"4,010,985,000.00","-1.99 (Q3, FY 81/82)",-122.16,96.81,3.72,-
6/5/2025,GIBF1,Global IME Balanced Fund-1,Mutual Fund,"102,576,360","1,025,763,600.00",21%,"1,088,335,179.60",-,-,-,-,FY 80/81
6/5/2025,GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,Microfinance,"6,189,002","618,900,200.00",-19%,"7,766,331,049.72","32.39 (Q3, FY 81/82)",38.74,201.66,8.19,FY 79/80
6/5/2025,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,"1,158,495","115,849,500.00",24%,"2,736,515,794.35","31.2 (Q3, FY 81/82)",75.71,146.26,26.8,FY 80/81
6/5/2025,GLH,Greenlife Hydropower Limited,Hydro Power,"18,000,000","1,800,000,000.00",23%,"4,448,700,000.00","1.91 (Q3, FY 81/82)",129.4,108.79,2.9,-
6/5/2025,GMFBS,Ganapati Microfinance Bittiya Sanstha Ltd,Microfinance,"1,515,546","151,554,600.00",23%,"2,333,940,840.00","20.51 (Q3, FY 81/82)",75.09,164.8,13.06,FY 77/78
6/5/2025,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,Finance,"10,121,760","1,012,176,000.00",19%,"4,857,635,059.20","4.28 (Q3, FY 81/82)",112.13,155.5,4.3,FY 78/79
6/5/2025,GMLI,Guardian Micro-Life Insurance Limited,Life Insurance,"7,500,000","750,000,000.00",0%,"17,953,350,000.00","4.88 (Q3, FY 81/82)",490.53,102.93,32.08,-
6/5/2025,GRDBL,Green Development Bank Ltd.,Development Bank Limited,"5,387,220","538,722,000.00",189%,"6,748,624,366.20","4.98 (Q3, FY 81/82)",251.55,113.73,14.51,FY 80/81
6/5/2025,GSY,Garima Samriddhi Yojana,Mutual Fund,"125,000,000","1,250,000,000.00",0%,"1,162,500,000.00",-,-,-,-,-
6/5/2025,GUFL,Gurkhas Finance Ltd.,Finance,"8,679,938","867,993,800.00",-19%,"4,673,712,616.10","-9.55 (Q3, FY 81/82)",-56.38,148.65,5.2,FY 71/72
6/5/2025,GVL,Green Ventures Limited,Hydro Power,"34,375,000","3,437,500,000.00",-12%,"15,057,625,000.00","14.49 (Q3, FY 81/82)",30.23,112.01,5.71,FY 80/81
6/5/2025,GWFD83,12% Goodwill finance Debenture 2083,Corporate Debenture,"250,000","250,000,000.00",20%,"366,200,000.00",-,-,-,-,-
6/5/2025,H8020,Himalayan 80-20,Mutual Fund,"10,000,000","100,000,000.00",26%,"114,400,000.00",-,-,-,-,FY 80/81
6/5/2025,HATHY,Hathway Investment Nepal Limited,Investment,"28,314,000","1,415,700,000.00",34%,"34,744,392,540.00","1.85 (Q3, FY 81/82)",663.3,78.33,23.3,FY 80/81
6/5/2025,HBL,Himalayan Bank Limited,Commercial Banks,"216,566,158","21,656,615,800.00",17%,"48,073,355,752.84","3.08 (Q3, FY 81/82)",72.07,171.44,1.8,FY 78/79
6/5/2025,HDHPC,Himal Dolakha Hydropower Company Limited,Hydro Power,"28,000,000","2,800,000,000.00",56%,"5,613,160,000.00","-2.22 (Q3, FY 81/82)",-90.3,75.73,3.44,-
6/5/2025,HDL,Himalayan Distillery Limited,Manufacturing And Processing,"30,734,018","3,073,401,800.00",-7%,"36,681,665,163.36","32.07 (Q3, FY 81/82)",37.22,128.88,12.37,FY 80/81
6/5/2025,HEI,Himalayan Everest Insurance Limited,Non-Life Insurance,"25,001,574","2,500,157,400.00",-4%,"14,349,653,397.30","17.73 (Q3, FY 81/82)",32.37,201.46,3.91,FY 80/81
6/5/2025,HEIP,Himalayan Everest Insurance Limited Promoter,Promotor Share,"2,675,044","267,504,400.00",3%,"1,000,466,456.00",-,-,-,-,-
6/5/2025,HHL,Himalayan Hydropower Limited,Hydro Power,"10,950,000","1,095,000,000.00",14%,"4,459,059,000.00","7.82 (Q3, FY 81/82)",52.07,77.96,8.16,-
6/5/2025,HIDCL,Hydorelectricity Investment and Development Company Ltd,Investment,"245,598,134","24,559,813,400.00",90%,"76,552,938,367.80","3.96 (Q3, FY 81/82)",78.71,114.78,3.35,FY 80/81
6/5/2025,HIDCLP,Hydroelectricity Investment and Development Company Limited Promoter Share,Promotor Share,"33,000,000","3,300,000,000.00",115%,"7,001,610,000.00",-,-,-,-,-
6/5/2025,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,Microfinance,"3,198,182","319,818,200.00",-33%,"2,991,291,606.42","22.3 (Q3, FY 81/82)",41.94,159.24,8.04,FY 78/79
6/5/2025,HLI,Himalayan Life Insurance Limited,Life Insurance,"91,432,374","9,143,237,400.00",5%,"37,062,112,800.90","6.89 (Q3, FY 81/82)",58.83,117.17,4.82,FY 80/81
6/5/2025,HPPL,Himalayan Power Partner Ltd.,Hydro Power,"10,654,170","1,065,417,000.00",98%,"5,295,974,823.60","7.24 (Q3, FY 81/82)",68.66,114.71,7,-
6/5/2025,HRL,Himalayan Reinsurance Limited,Others,"108,680,000","10,868,000,000.00",63%,"100,831,130,400.00","12.68 (Q3, FY 81/82)",73.17,130.72,10.32,FY 80/81
6/5/2025,HURJA,Himalaya Urja Bikas Company Limited,Hydro Power,"19,800,000","1,980,000,000.00",-10%,"4,933,170,000.00","2.35 (Q3, FY 81/82)",106.02,90.48,3.45,-
6/5/2025,ICFC,ICFC Finance Limited,Finance,"11,834,710","1,183,471,000.00",18%,"7,126,862,362.00","21.98 (Q3, FY 81/82)",27.4,171.13,4.63,FY 80/81
6/5/2025,ICFCD83,12% ICFC Finance Limited Debenture 2083,Corporate Debenture,"200,000","200,000,000.00",-1%,"240,400,000.00",-,-,-,-,-
6/5/2025,ICFCD83,12% ICFC Finance Limited Debenture 2083,Corporate Debenture,"200,000.00","200,000,000.00",4.54,"258,000,000.00",0,0,0,,
6/5/2025,ICFCD88,9% ICFC Finance Limited Debenture-2088,Corporate Debenture,0,0,0%,0,-,-,-,-,-
6/5/2025,IGI,IGI Prudential Insurance Company Limited,Non-Life Insurance,"30,293,347","3,029,334,700.00",0%,"15,998,825,351.11","11.67 (Q3, FY 81/82)",45.26,185.3,4.07,FY 80/81
6/5/2025,IHL,Ingwa Hydropower Limited,Hydro Power,"6,000,000","600,000,000.00",37%,"3,205,080,000.00","-6.57 (Q3, FY 81/82)",-81.31,89.91,9.83,-
6/5/2025,ILBS,Infinity Laghubitta Bittiya Sanstha Limited,Microfinance,"4,974,160","497,416,000.00",-38%,"4,190,879,024.80","0.18 (Q3, FY 81/82)",4680.72,137.74,8.83,FY 78/79
6/5/2025,ILI,IME Life Insurance Company Limited,Life Insurance,"50,000,000","5,000,000,000.00",3%,"22,381,000,000.00","9.77 (Q3, FY 81/82)",45.82,113.11,5.45,FY 80/81
6/5/2025,JBBL,Jyoti Bikas Bank Limited,Development Bank Limited,"43,957,860","4,395,786,000.00",14%,"14,332,020,674.40","9.3 (Q3, FY 81/82)",35.06,151.9,2.93,FY 78/79
6/5/2025,JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,"15,361,716","1,536,171,600.00",-5%,"19,843,189,408.68","30.87 (Q3, FY 81/82)",41.84,233.92,7.52,FY 80/81
6/5/2025,JFL,Janaki Finance Ltd.,Finance,"6,904,728","690,472,800.00",-20%,"3,191,365,281.60","-24.78 (Q3, FY 81/82)",-18.65,39.31,17.02,FY 77/78
6/5/2025,JOSHI,Joshi Hydropower Development Company Ltd,Hydro Power,"3,714,000","371,400,000.00",28%,"1,422,759,120.00","-6.4 (Q3, FY 81/82)",-59.86,48.57,10.46,-
